score,loc,avg_cc,cc_ratio,cohesion,concerns,imports,path
8.5344,2313,6.63,2.82,0.6251,15,31,db/models/base.py
8.3065,2105,7.39,3.15,0.5891,15,22,db/models/sql/compiler.py
7.9794,2643,5.46,2.33,0.5721,15,26,db/models/sql/query.py
6.8830,1968,6.54,2.78,0.6358,15,15,db/migrations/autodetector.py
6.4406,2328,3.79,1.61,0.6051,15,49,contrib/admin/options.py
6.1554,2701,3.79,1.61,0.5721,15,25,db/models/query.py
4.9483,1955,4.30,1.83,0.6369,15,14,db/backends/base/schema.py
4.5243,1657,2.86,1.22,0.5719,15,44,test/testcases.py
4.4713,1943,3.21,1.37,0.6255,15,26,db/models/fields/related.py
4.2814,1516,4.23,1.80,0.6596,15,19,forms/models.py
4.2167,481,15.29,6.51,0.5594,9,14,core/management/commands/migrate.py
3.9505,1609,2.66,1.13,0.5842,15,34,test/client.py
3.9109,1367,3.78,1.61,0.6112,15,23,template/defaulttags.py
3.7301,490,11.44,4.87,0.5338,11,18,core/management/commands/makemigrations.py
3.6494,1269,3.75,1.60,0.6599,15,21,contrib/admin/checks.py
3.3921,1213,3.15,1.34,0.6857,15,25,forms/fields.py
3.3538,1104,2.68,1.14,0.5809,15,33,test/runner.py
3.2371,705,5.67,2.41,0.5577,15,18,core/management/commands/makemessages.py
3.2216,916,4.00,1.70,0.6560,15,22,db/migrations/state.py
3.2019,1873,2.02,0.86,0.6272,15,20,db/models/expressions.py
3.1731,651,6.88,2.93,0.5829,15,11,contrib/gis/utils/layermapping.py
3.1693,948,4.08,1.74,0.6051,15,18,db/models/options.py
3.0508,519,7.07,3.01,0.5953,15,17,contrib/admin/views/main.py
3.0040,1462,2.68,1.14,0.6197,15,13,db/models/fields/related_descriptors.py
2.9689,546,4.90,2.09,0.5793,15,26,contrib/admin/utils.py
2.9068,1044,3.21,1.37,0.6251,15,17,template/base.py
2.8937,822,2.40,1.02,0.5793,15,32,test/utils.py
2.8458,575,4.50,1.92,0.6251,15,24,core/mail/message.py
2.8161,380,12.43,5.29,0.4819,9,6,core/management/commands/inspectdb.py
2.7987,524,2.68,1.14,0.5946,15,36,contrib/admin/sites.py
2.7758,547,3.46,1.48,0.6251,15,30,db/backends/postgresql/base.py
2.7743,812,2.98,1.27,0.6319,15,24,template/defaultfilters.py
2.6825,604,3.45,1.47,0.5669,15,25,utils/autoreload.py
2.6706,609,3.97,1.69,0.7344,15,22,views/debug.py
2.6405,755,3.02,1.29,0.6212,15,22,urls/resolvers.py
2.5860,1068,2.42,1.03,0.6176,15,17,forms/widgets.py
2.5717,473,4.47,1.90,0.6126,15,22,contrib/admindocs/views.py
2.5596,595,3.22,1.37,0.6251,15,24,db/backends/oracle/base.py
2.5344,382,9.33,3.98,0.6366,14,6,db/migrations/executor.py
2.5222,265,15.33,6.53,0.5339,6,10,core/management/commands/dumpdata.py
2.5115,192,2.59,1.10,0.6506,15,39,test/signals.py
2.4570,633,4.31,1.84,0.6204,15,12,http/multipartparser.py
2.4548,384,5.50,2.34,0.6291,15,19,core/management/commands/loaddata.py
2.4472,635,4.00,1.70,0.6384,15,14,db/models/constraints.py
2.3941,432,6.85,2.92,0.6625,15,8,db/backends/sqlite3/introspection.py
2.3252,634,2.14,0.91,0.6067,15,24,http/response.py
2.3179,364,5.91,2.52,0.5431,13,17,core/management/templates.py
2.3165,613,3.49,1.48,0.6251,15,15,core/management/base.py
2.3106,495,3.87,1.65,0.5708,15,17,contrib/admin/templatetags/admin_list.py
2.3051,465,5.50,2.34,0.6369,15,10,db/backends/sqlite3/schema.py
2.3024,654,3.04,1.29,0.5741,15,16,db/backends/oracle/operations.py
2.2903,677,2.29,0.97,0.6251,15,21,db/backends/base/base.py
2.2759,521,4.19,1.79,0.5676,15,13,contrib/staticfiles/storage.py
2.2620,546,3.50,1.49,0.6077,15,16,utils/translation/trans_real.py
2.2142,683,2.01,0.86,0.6332,15,21,contrib/gis/geos/geometry.py
2.2124,750,1.98,0.85,0.6857,15,20,contrib/contenttypes/fields.py
2.2099,233,17.33,7.38,0.5909,4,5,utils/translation/template.py
2.2092,736,2.39,1.02,0.5625,15,16,http/request.py
2.1720,404,5.81,2.48,0.6626,15,9,db/migrations/loader.py
2.1522,770,2.46,1.05,0.5741,15,13,db/backends/base/operations.py
2.1394,317,10.00,4.26,0.5432,12,2,utils/regex_helper.py
2.1347,452,2.97,1.26,0.5957,15,19,utils/html.py
2.0956,372,5.75,2.45,0.5619,14,10,contrib/staticfiles/management/commands/collectstatic.py
2.0929,669,2.54,1.08,0.6260,15,14,db/models/lookups.py
2.0923,367,6.00,2.56,0.5825,15,8,db/models/indexes.py
2.0902,732,2.07,0.88,0.6149,15,16,contrib/gis/gdal/geometries.py
2.0890,296,8.12,3.46,0.5914,11,11,contrib/auth/management/commands/createsuperuser.py
2.0731,480,2.68,1.14,0.6006,15,18,db/models/query_utils.py
2.0670,1096,1.92,0.82,0.6596,15,9,db/migrations/operations/models.py
2.0592,419,3.88,1.65,0.7829,15,15,middleware/csrf.py
2.0577,337,6.45,2.75,0.6251,11,13,core/handlers/base.py
2.0240,219,1.42,0.61,0.6343,15,28,contrib/admin/tests.py
2.0225,657,2.77,1.18,0.6616,15,11,views/generic/dates.py
2.0084,234,12.67,5.40,0.6664,5,11,core/management/commands/squashmigrations.py
1.9926,373,2.67,1.14,0.5741,15,19,contrib/gis/db/backends/postgis/operations.py
1.9731,621,2.44,1.04,0.6416,15,13,db/models/fields/json.py
1.9565,474,2.48,1.06,0.5797,15,16,contrib/gis/gdal/raster/source.py
1.9486,528,2.07,0.88,0.6176,15,17,contrib/admin/widgets.py
1.9468,571,2.55,1.09,0.6410,15,13,core/validators.py
1.9466,242,7.43,3.16,0.6263,9,17,core/management/commands/shell.py
1.9392,333,2.70,1.15,0.6251,15,19,db/backends/sqlite3/base.py
1.9257,317,1.88,0.80,0.6126,15,22,contrib/auth/views.py
1.9235,423,2.45,1.05,0.6249,15,17,utils/text.py
1.9232,480,4.20,1.79,0.6420,15,6,db/models/deletion.py
1.9176,499,2.44,1.04,0.6531,15,15,contrib/admin/helpers.py
1.9175,345,4.65,1.98,0.7114,15,11,utils/http.py
1.9080,504,2.16,0.92,0.6210,15,16,contrib/auth/forms.py
1.9044,344,2.08,0.89,0.7507,15,21,db/migrations/serializer.py
1.8986,328,3.42,1.46,0.5674,15,15,core/handlers/asgi.py
1.8861,456,3.64,1.55,0.6355,15,9,dispatch/dispatcher.py
1.8847,451,2.26,0.96,0.5990,15,16,db/models/fields/files.py
1.8798,394,2.38,1.01,0.6251,15,17,db/backends/mysql/base.py
1.8701,373,3.22,1.37,0.6641,15,14,db/backends/base/creation.py
1.8560,583,1.72,0.73,0.6812,15,16,contrib/auth/hashers.py
1.8542,380,3.91,1.66,0.7640,15,11,utils/cache.py
1.8501,484,2.84,1.21,0.5931,15,11,core/serializers/xml_serializer.py
1.8436,634,2.62,1.12,0.6557,15,8,contrib/admin/filters.py
1.8407,511,3.50,1.49,0.7344,15,7,templatetags/i18n.py
1.8403,428,2.69,1.14,0.6986,15,14,db/backends/sqlite3/_functions.py
1.8377,358,2.50,1.06,0.5741,15,16,db/backends/sqlite3/operations.py
1.8348,359,5.89,2.51,0.6625,11,8,db/backends/mysql/introspection.py
1.8231,526,2.90,1.23,0.6542,15,9,forms/formsets.py
1.8162,359,4.19,1.78,0.6481,15,9,apps/registry.py
1.7860,378,3.52,1.50,0.6210,15,10,forms/forms.py
1.7560,222,4.38,1.87,0.7344,15,14,views/i18n.py
1.7485,508,1.97,0.84,0.6596,15,13,contrib/auth/models.py
1.7449,278,4.22,1.80,0.6704,15,11,contrib/staticfiles/finders.py
1.7232,277,3.53,1.50,0.5747,15,12,db/migrations/writer.py
1.7099,507,2.32,0.99,0.6629,15,10,contrib/gis/db/models/functions.py
1.6916,442,2.90,1.24,0.6198,15,8,template/library.py
1.6810,324,5.43,2.31,0.5725,9,10,contrib/humanize/templatetags/humanize.py
1.6626,224,4.82,2.05,0.6384,14,11,contrib/postgres/constraints.py
1.6582,386,2.82,1.20,0.5741,15,9,db/backends/mysql/operations.py
1.6554,363,3.65,1.56,0.6881,15,7,db/models/fields/tuple_lookups.py
1.6446,232,2.78,1.18,0.6194,12,18,contrib/auth/admin.py
1.6444,345,2.30,0.98,0.5741,15,12,db/backends/postgresql/operations.py
1.6380,443,2.57,1.09,0.5857,15,8,utils/feedgenerator.py
1.6344,262,5.91,2.52,1.0000,12,10,utils/formats.py
1.6282,236,3.53,1.50,0.7078,15,12,contrib/auth/middleware.py
1.6268,360,2.76,1.18,0.6857,15,10,contrib/gis/db/models/fields.py
1.6155,301,3.30,1.40,0.5782,15,9,db/models/sql/where.py
1.6106,240,1.91,0.81,0.5870,15,15,core/files/storage/memory.py
1.5943,208,2.57,1.10,0.6340,15,14,contrib/gis/gdal/layer.py
1.5941,292,2.62,1.12,0.5793,15,11,db/backends/utils.py
1.5922,325,2.39,1.02,0.6041,15,11,contrib/postgres/fields/array.py
