score,loc,avg_cc,cc_ratio,cohesion,concerns,imports,path
127.5777,702,181.00,181.00,0.5372,2,2,EFCore.SqlServer/Storage/Internal/SqlServerTransientExceptionDetector.cs
121.2980,1642,69.00,69.00,1.0000,1,53,EFCore/Metadata/Conventions/Internal/ConventionDispatcher.ImmediateConventionScope.cs
99.3134,5713,17.38,17.38,1.0000,1,0,EFCore/ChangeTracking/Internal/Snapshot.cs
84.5313,4865,16.87,16.87,1.0000,1,16,EFCore/Metadata/Internal/InternalEntityTypeBuilder.cs
73.7131,3791,18.92,18.92,1.0000,1,13,EFCore/Metadata/Internal/InternalForeignKeyBuilder.cs
46.3390,1129,41.00,41.00,1.0000,1,0,EFCore/Metadata/Conventions/ConventionSet.cs
36.3542,4216,8.37,8.37,0.6650,2,6,EFCore.Relational/Query/SqlExpressions/SelectExpression.cs
27.7330,2636,9.25,9.25,1.0000,1,22,EFCore.Design/Scaffolding/Internal/CSharpRuntimeModelCodeGenerator.cs
27.2219,3258,7.56,7.56,1.0000,1,17,EFCore.SqlServer/Migrations/SqlServerMigrationsSqlGenerator.cs
25.8988,2965,8.52,8.52,1.0000,1,4,EFCore.Relational/Infrastructure/RelationalModelValidator.cs
23.4954,3035,7.23,7.23,1.0000,1,10,EFCore.Relational/Query/RelationalShapedQueryCompilingExpressionVisitor.ShaperProcessingExpressionVisitor.cs
22.1150,405,53.00,53.00,1.0000,1,4,EFCore.SqlServer/Storage/Internal/SqlServerTypeMappingSource.cs
21.9000,350,62.00,62.00,1.0000,1,1,EFCore.Relational/Metadata/Internal/RelationalForeignKeyExtensions.cs
21.6798,1419,11.44,11.44,1.0000,1,36,EFCore.SqlServer/Scaffolding/Internal/SqlServerDatabaseModelFactory.cs
19.6615,1889,9.83,9.83,1.0000,1,7,EFCore/Metadata/Internal/InternalTypeBaseBuilder.cs
18.0971,2167,8.05,8.05,1.0000,1,4,EFCore.Relational/Query/RelationalQueryableMethodTranslatingExpressionVisitor.cs
17.4270,2041,8.22,8.22,1.0000,1,4,EFCore/Query/Internal/NavigationExpandingExpressionVisitor.cs
17.3932,1519,11.06,11.06,0.8008,2,3,EFCore.Cosmos/Query/Internal/CosmosQueryableMethodTranslatingExpressionVisitor.cs
17.1839,1930,8.72,8.72,1.0000,1,2,EFCore.Relational/Metadata/Internal/RelationalModel.cs
16.7355,2399,5.45,5.45,1.0000,1,24,EFCore.Design/Query/Internal/LinqToCSharpSyntaxTranslator.cs
16.7260,178,92.00,92.00,1.0000,1,2,EFCore.SqlServer/Query/Internal/Translators/SqlServerMathTranslator.cs
16.2863,1898,5.47,5.47,1.0000,1,39,EFCore.Design/Migrations/Design/CSharpMigrationOperationGenerator.cs
16.1230,1121,13.00,13.00,1.0000,1,10,EFCore.Design/Query/Internal/PrecompiledQueryCodeGenerator.cs
