score,loc,avg_cc,cc_ratio,cohesion,concerns,imports,path
1140.4765,2817,404.00,404.00,0.6058,15,104,vs/workbench/contrib/notebook/browser/notebookEditorWidget.ts
447.4774,2404,185.50,185.50,0.3184,3,81,vs/workbench/contrib/chat/browser/widget/chatWidget.ts
413.9967,1902,217.00,217.00,0.5093,9,46,vs/workbench/contrib/notebook/browser/diff/diffComponents.ts
353.6266,2525,139.50,139.50,0.6034,15,36,vs/workbench/api/common/extHostLanguageFeatures.ts
322.2933,1916,167.50,167.50,0.4866,4,69,vs/workbench/contrib/preferences/browser/settingsEditor2.ts
322.2179,1241,259.00,259.00,0.4844,2,38,vs/workbench/services/extensionManagement/common/extensionManagementService.ts
312.6115,3748,83.00,83.00,0.2300,3,79,vs/workbench/contrib/tasks/browser/abstractTaskService.ts
306.4657,2272,134.00,134.00,0.3694,6,104,vs/workbench/contrib/chat/browser/widget/chatListRenderer.ts
299.2387,1382,216.00,216.00,0.6132,6,22,vs/base/browser/ui/list/listView.ts
283.2424,1235,229.00,229.00,0.2903,2,10,vs/platform/undoRedo/common/undoRedoService.ts
281.2519,1257,223.00,223.00,0.3964,2,46,vs/workbench/services/configuration/browser/configurationService.ts
270.3558,1422,189.50,189.50,0.5127,15,1,vs/base/common/yaml.ts
260.8011,2009,129.00,129.00,0.3596,8,72,vs/workbench/contrib/scm/browser/scmViewPane.ts
253.3715,1274,198.00,198.00,0.7220,3,60,vs/workbench/contrib/testing/browser/testingDecorations.ts
239.4506,1403,170.00,170.00,0.2775,2,44,vs/platform/windows/electron-main/windowImpl.ts
234.2411,2114,110.00,110.00,0.4956,15,55,vs/workbench/browser/parts/editor/multiEditorTabsControl.ts
221.6951,1434,153.50,153.50,0.6955,15,50,vs/workbench/contrib/extensions/browser/extensionsViews.ts
221.3245,1819,121.00,121.00,0.5979,15,25,vs/workbench/contrib/debug/common/debugModel.ts
197.9847,6339,31.07,31.07,0.5674,15,13,vs/editor/common/config/editorOptions.ts
180.5157,1603,112.33,112.33,0.3384,2,12,vs/workbench/contrib/tags/electron-browser/workspaceTagsService.ts
179.4363,2809,63.20,63.20,0.6898,15,72,vs/workbench/contrib/extensions/browser/extensionsActions.ts
178.9303,2581,69.00,69.00,0.6749,2,44,vs/workbench/browser/layout.ts
169.5550,1977,85.00,85.00,1.0000,5,84,vs/workbench/contrib/extensions/browser/extensions.contribution.ts
151.1419,1321,113.50,113.50,0.4664,5,55,vs/workbench/browser/parts/editor/editorStatus.ts
150.1158,971,153.00,153.00,0.6089,15,47,vs/workbench/contrib/extensions/browser/extensionsWidgets.ts
146.8335,1477,98.67,98.67,0.3485,2,56,vs/platform/windows/electron-main/windowsMainService.ts
146.2831,1291,112.50,112.50,0.5176,5,45,vs/workbench/contrib/comments/browser/commentsController.ts
145.3903,1205,120.00,120.00,0.4189,3,33,vs/workbench/browser/parts/editor/editorPart.ts
144.8440,1303,110.00,110.00,0.4638,15,42,vs/editor/contrib/find/browser/findWidget.ts
142.2724,1435,98.50,98.50,0.5604,7,31,vs/platform/actionWidget/browser/actionList.ts
136.6800,887,153.00,153.00,0.4041,2,48,vs/workbench/services/keybinding/browser/keybindingService.ts
134.5243,960,139.00,139.00,0.2427,2,53,vs/workbench/contrib/markers/browser/markersView.ts
132.8891,948,139.00,139.00,0.2314,2,55,vs/workbench/contrib/search/browser/anythingQuickAccess.ts
132.0198,1065,123.00,123.00,0.3608,2,51,vs/workbench/contrib/chat/browser/chatEditing/chatEditingSession.ts
131.0263,1104,118.00,118.00,0.4629,4,28,vs/workbench/services/workingCopy/common/storedFileWorkingCopy.ts
130.7438,1607,81.00,81.00,0.4528,7,6,vs/editor/common/model/pieceTreeTextBuffer/pieceTreeBase.ts
128.3128,2650,48.00,48.00,0.4486,9,35,vs/base/browser/ui/tree/abstractTree.ts
126.4788,1275,98.50,98.50,0.4349,3,40,vs/workbench/contrib/chat/browser/agentSessions/experiments/agentTitleBarStatusWidget.ts
121.6923,2120,56.80,56.80,0.5747,6,58,vs/workbench/contrib/debug/browser/breakpointsView.ts
117.8365,1874,62.00,62.00,0.7060,15,55,vs/workbench/contrib/testing/browser/testExplorerActions.ts
116.6510,860,135.00,135.00,0.5158,2,22,vs/workbench/services/views/browser/viewDescriptorService.ts
114.2715,1204,94.00,94.00,0.4582,6,44,vs/workbench/contrib/userDataProfile/browser/userDataProfilesEditorModel.ts
113.9886,977,116.00,116.00,0.6338,11,1,vs/editor/contrib/snippet/browser/snippetParser.ts
