gap,coverage,effective_coverage,covered_by,icr,ccr,loc,funcs,branches,mutations,io_calls,logs,spans,metrics,path
4.7568,0.0000,0.0000,,4.7568,0.0000,533,1,83,77,0,0,0,0,pkg/services/ngalert/api/authorization.go
3.6512,0.0000,0.0000,,3.6512,0.0000,145,1,35,22,0,0,0,0,pkg/util/xorm/session_delete.go
3.5324,0.1240,0.1240,,4.0324,0.5000,347,2,101,63,0,1,0,0,pkg/util/xorm/session_update.go
3.4326,0.0000,0.0000,,3.4326,0.0000,85,1,15,13,3,0,0,0,pkg/setting/setting_secure_socks_proxy.go
3.4178,0.0000,0.0000,,3.4178,0.0000,106,1,32,15,0,0,0,0,pkg/storage/unified/apistore/util.go
3.3768,0.0000,0.0000,,3.3768,0.0000,3025,1,132,2,0,0,0,0,pkg/services/featuremgmt/registry.go
3.2579,0.0000,0.0000,,3.2579,0.0000,182,1,29,12,0,0,0,0,apps/dashboard/pkg/migration/schemaversion/v8.go
3.2531,0.0000,0.0000,,3.2531,0.0000,93,0,4,17,10,0,0,0,e2e/cypress/plugins/benchmark/CDPDataCollector.js
3.1628,0.0000,0.0000,,3.1628,0.0000,86,1,12,27,0,0,0,0,pkg/services/login/authinfo.go
3.1581,0.0000,0.0000,,3.1581,0.0000,130,1,18,4,5,0,0,0,e2e-playwright/utils/annotation-api-mock.ts
3.1218,0.0000,0.0000,,3.1218,0.0000,68,1,16,18,0,0,0,0,apps/provisioning/pkg/connection/github/validator.go
2.9536,0.0000,0.0000,,2.9536,0.0000,189,2,26,32,0,0,0,0,pkg/services/navtree/navtreeimpl/admin.go
2.8788,0.0000,0.0000,,2.8788,0.0000,85,1,17,10,0,0,0,0,pkg/util/xorm/session_exist.go
2.8465,0.1633,0.1633,,3.4020,0.5556,801,9,205,194,0,5,0,0,apps/plugins/pkg/app/meta/converter.go
2.8280,0.0000,0.0000,,2.8280,0.0000,97,1,4,42,0,0,0,0,pkg/services/sqlstore/migrator/types.go
2.7637,0.0000,0.0000,,2.7637,0.0000,116,0,14,2,5,0,0,0,e2e/utils/support/types.ts
2.7568,0.0000,0.0000,,2.7568,0.0000,709,0,0,234,0,0,0,0,pkg/services/featuremgmt/toggles_gen.go
2.7095,0.0000,0.0000,,2.7095,0.0000,61,1,15,8,0,0,0,0,pkg/services/pluginsintegration/pluginconfig/azure_settings.go
2.6789,0.0000,0.0000,,2.6789,0.0000,77,1,10,12,0,0,0,0,pkg/tsdb/grafana-pyroscope-datasource/exemplar/exemplar.go
2.6617,0.0000,0.0000,,2.6617,0.0000,71,1,20,5,0,0,0,0,pkg/registry/apis/datasource/authorizer.go
2.5396,0.0000,0.0000,,2.5396,0.0000,39,1,9,10,0,0,0,0,pkg/tsdb/azuremonitor/metrics/migrations.go
2.5262,0.0000,0.0000,,2.5262,0.0000,269,5,61,34,0,0,0,0,pkg/util/xorm/session_find.go
2.5029,0.0000,0.0000,,2.5029,0.0000,183,4,47,27,0,0,0,0,pkg/expr/classic/reduce.go
2.4840,0.0000,0.0000,,2.4840,0.0000,90,2,22,14,0,0,0,0,pkg/registry/apps/annotation/search_handler.go
2.4675,0.0000,0.0000,,2.4675,0.0000,55,1,14,5,0,0,0,0,pkg/registry/apis/dashboard/snapshot/authorizer.go
2.4239,0.0000,0.0000,,2.4239,0.0000,45,0,6,5,2,0,0,0,scripts/webpack/plugins/FilterStatsPlugin.js
