gap,coverage,effective_coverage,covered_by,icr,ccr,loc,funcs,branches,mutations,io_calls,logs,spans,metrics,path
3.1594,0.0000,0.0000,,3.1594,0.0000,108,1,19,16,0,0,0,0,cmd/jaeger/internal/extension/jaegermcp/internal/criticalpath/sanitize.go
2.5464,0.0000,0.0000,,2.5464,0.0000,48,1,10,9,0,0,0,0,cmd/jaeger/internal/extension/jaegermcp/internal/criticalpath/get_child_of_spans.go
2.4069,0.0000,0.0000,,2.4069,0.0000,132,2,19,14,0,0,0,0,cmd/jaeger/internal/extension/jaegermcp/internal/criticalpath/criticalpath.go
2.3413,0.1246,0.1246,,2.6746,0.3333,83,3,18,42,2,1,0,0,scripts/lint/import-order-cleanup.py
2.1729,0.0000,0.0000,,2.1729,0.0000,28,1,6,7,0,0,0,0,internal/storage/v1/cassandra/spanstore/dbmodel/unique_tags.go
2.1414,0.0000,0.0000,,2.1414,0.0000,78,1,9,4,0,0,0,0,cmd/jaeger/internal/extension/remotesampling/config.go
2.1386,0.2376,0.2376,,2.8053,0.6667,203,6,41,84,6,3,0,1,scripts/e2e/metrics_summary.py
2.0125,0.0000,0.0000,,2.0125,0.0000,138,6,12,86,0,0,0,0,internal/storage/v2/clickhouse/tracestore/dbmodel/to.go
2.0108,0.0000,0.0000,,2.0108,0.0000,69,2,6,20,0,0,0,0,cmd/es-rollover/app/flags.go
1.9754,0.0000,0.0000,,1.9754,0.0000,63,2,13,8,0,0,0,0,internal/jptrace/sanitizer/emptyservicename.go
1.9363,0.0000,0.0000,,1.9363,0.0000,230,6,29,31,0,0,0,0,internal/storage/cassandra/config/config.go
1.9356,0.0000,0.0000,,1.9356,0.0000,42,1,6,4,0,0,0,0,cmd/jaeger/internal/extension/jaegermcp/internal/criticalpath/find_lfc.go
1.8996,0.0000,0.0000,,1.8996,0.0000,205,5,17,15,8,0,0,0,cmd/jaeger/internal/integration/e2e_integration.go
1.8859,0.2612,0.2612,,2.5526,0.6667,99,3,15,34,3,2,0,0,scripts/release/update-changelog.py
1.8448,0.0000,0.0000,,1.8448,0.0000,86,1,2,10,0,0,0,0,cmd/anonymizer/app/flags.go
1.7826,0.0000,0.0000,,1.7826,0.0000,75,2,6,12,0,0,0,0,internal/storage/v2/clickhouse/config.go
1.7547,0.0000,0.0000,,1.7547,0.0000,51,1,7,2,0,0,0,0,internal/auth/transport.go
1.7435,0.0000,0.0000,,1.7435,0.0000,63,2,4,16,0,0,0,0,cmd/es-index-cleaner/app/flags.go
1.7435,0.0000,0.0000,,1.7435,0.0000,67,1,2,8,0,0,0,0,internal/storage/v1/elasticsearch/mappings/flags.go
1.6349,0.0000,0.0000,,1.6349,0.0000,338,16,52,62,0,0,0,0,internal/storage/v2/cassandra/tracestore/to_dbmodel.go
1.6250,0.0000,0.0000,,1.6250,0.0000,330,16,54,58,0,0,0,0,internal/storage/v2/elasticsearch/tracestore/to_dbmodel.go
1.5740,0.0000,0.0000,,1.5740,0.0000,152,6,26,14,0,0,0,0,internal/jptrace/aggregator.go
1.5489,0.0000,0.0000,,1.5489,0.0000,120,5,23,10,0,0,0,0,internal/jptrace/sanitizer/utf8.go
1.4967,0.0000,0.0000,,1.4967,0.0000,55,2,10,3,0,0,0,0,cmd/es-index-cleaner/app/index_filter.go
1.4623,0.3390,0.3390,,2.2123,0.7500,90,4,21,20,4,3,0,0,scripts/e2e/filter_coverage.py
1.4469,0.0000,0.0000,,1.4469,0.0000,76,3,4,17,0,0,0,0,internal/storage/v1/badger/options.go
1.4405,0.0270,0.0270,,1.4805,0.0400,555,25,80,66,0,1,0,0,internal/storage/v1/badger/spanstore/reader.go
1.3833,0.0000,0.0000,,1.3833,0.0000,361,16,103,9,0,0,0,0,internal/storage/v2/memory/tenant.go
1.3623,0.1551,0.1551,,1.6123,0.2500,122,4,21,8,0,1,0,0,cmd/es-rollover/app/init/action.go
1.3547,0.0000,0.0000,,1.3547,0.0000,51,1,3,2,0,0,0,0,internal/grpctest/reflection.go
1.3547,0.0000,0.0000,,1.3547,0.0000,35,2,6,4,0,0,0,0,internal/jptrace/warning.go
1.3414,0.0000,0.0000,,1.3414,0.0000,36,2,3,8,0,0,0,0,internal/tenancy/flags.go
1.3340,0.0000,0.0000,,1.3340,0.0000,22,1,2,3,0,0,0,0,internal/metricstest/keys.go
1.3299,0.0000,0.0000,,1.3299,0.0000,176,7,29,8,0,0,0,0,internal/storage/v1/cassandra/spanstore/dbmodel/model.go
1.3288,0.0000,0.0000,,1.3288,0.0000,45,1,9,0,0,0,0,0,examples/hotrod/cmd/flags.go
1.3218,0.3770,0.3770,,2.1218,0.8000,176,5,31,30,0,4,0,0,cmd/internal/storageconfig/config.go
1.3129,0.0367,0.0367,,1.3629,0.0500,422,20,101,18,0,1,0,0,internal/storage/v2/elasticsearch/tracestore/from_dbmodel.go
