gap,coverage,effective_coverage,covered_by,icr,ccr,loc,funcs,branches,mutations,io_calls,logs,spans,metrics,path
6.4951,0.0000,0.0000,,6.4951,0.0000,1017,2,684,975,0,0,0,0,pkg/chunkenc/testdata/testdata.go
3.2109,0.2375,0.2375,,4.2109,1.0000,1961,8,295,518,0,8,0,0,pkg/logql/syntax/syntax.y.go
3.0945,0.0000,0.0000,,3.0945,0.0000,221,2,32,34,0,0,0,0,pkg/logql/log/pattern/lexer.rl.go
3.0647,0.0000,0.0000,,3.0647,0.0000,1213,5,72,90,0,0,0,0,operator/api/loki/v1beta1/lokistack_types.go
3.0395,0.0000,0.0000,,3.0395,0.0000,888,3,56,38,0,0,0,0,operator/api/loki/v1beta1/rulerconfig_types.go
3.0279,0.0000,0.0000,,3.0279,0.0000,271,2,51,17,0,0,0,0,pkg/engine/internal/executor/compat.go
2.6943,0.0000,0.0000,,2.6943,0.0000,97,1,4,32,0,0,0,0,operator/api/loki/v1/v1.go
2.6856,0.0000,0.0000,,2.6856,0.0000,98,1,13,9,0,0,0,0,pkg/logql/bench/cmd/correctness-metrics/metrics.go
2.6791,0.0000,0.0000,,2.6791,0.0000,120,1,5,25,0,0,0,0,operator/internal/manifests/openshift/opa_openshift.go
2.5728,0.0000,0.0000,,2.5728,0.0000,4324,76,768,716,0,0,0,0,docs/sources/query/analyzer/handlebars.js
2.5225,0.0000,0.0000,,2.5225,0.0000,129,2,31,10,0,0,0,0,pkg/logql/log/logfmt/jsonstring.go
2.5065,0.0000,0.0000,,2.5065,0.0000,164,4,31,44,0,0,0,0,operator/internal/manifests/build.go
2.4952,0.0000,0.0000,,2.4952,0.0000,69,1,7,12,0,0,0,0,operator/internal/manifests/internal/gateway/build.go
2.3788,0.0000,0.0000,,2.3788,0.0000,62,1,9,7,0,0,0,0,operator/internal/status/status.go
2.3788,0.0000,0.0000,,2.3788,0.0000,64,1,9,7,0,0,0,0,pkg/logql/bench/discover/pkg/tsdb/selection.go
2.3128,0.0000,0.0000,,2.3128,0.0000,307,1,29,1,0,0,0,0,tools/doc-generator/parse/root_blocks.go
2.2965,0.0000,0.0000,,2.2965,0.0000,188,3,24,20,0,0,0,0,pkg/dataobj/compaction/binpacking.go
2.2335,0.0000,0.0000,,2.2335,0.0000,52,1,9,5,0,0,0,0,tools/doc-generator/parse/util.go
2.2335,0.0000,0.0000,,2.2335,0.0000,76,2,18,10,0,0,0,0,pkg/engine/internal/planner/physical/rule_group_by_pushdown.go
2.1952,0.0000,0.0000,,2.1952,0.0000,53,0,1,34,0,0,0,0,pkg/util/constants/api_paths.go
2.1934,0.0000,0.0000,,2.1934,0.0000,147,1,0,76,0,0,0,0,operator/internal/manifests/storage/var.go
2.1729,0.0000,0.0000,,2.1729,0.0000,47,1,6,7,0,0,0,0,pkg/engine/internal/executor/limit.go
2.1427,0.0191,0.0191,,2.1844,0.0417,712,24,104,244,0,1,0,0,pkg/loki/config_wrapper.go
2.1380,0.0000,0.0000,,2.1380,0.0000,109,0,0,68,0,0,0,0,pkg/xcap/stats_definitions.go
2.1182,0.0000,0.0000,,2.1182,0.0000,360,8,60,38,0,0,0,0,operator/internal/manifests/config.go
2.1174,0.0000,0.0000,,2.1174,0.0000,226,8,53,44,0,0,0,0,operator/internal/manifests/config_otlp.go
2.1066,0.0000,0.0000,,2.1066,0.0000,55,3,27,11,0,0,0,0,pkg/logql/log/util.go
2.0627,0.0000,0.0000,,2.0627,0.0000,302,8,65,30,0,0,0,0,pkg/storage/stores/shipper/indexshipper/tsdb/querier.go
2.0591,0.0000,0.0000,,2.0591,0.0000,174,5,29,28,0,0,0,0,pkg/storage/stores/shipper/indexshipper/boltdb/compactor/iterator.go
2.0565,0.1395,0.1395,,2.3898,0.3333,105,3,30,19,0,1,0,0,operator/internal/config/options.go
2.0513,0.0000,0.0000,,2.0513,0.0000,108,3,20,14,0,0,0,0,pkg/logql/optimize.go
2.0382,0.0000,0.0000,,2.0382,0.0000,28,1,4,8,0,0,0,0,operator/internal/status/conditions.go
2.0206,0.0660,0.0660,,2.1635,0.1429,412,7,55,35,0,1,0,0,pkg/logql/bench/discover/cmd/main.go
2.0127,0.0000,0.0000,,2.0127,0.0000,47,1,7,4,0,0,0,0,pkg/querier/pattern/querier.go
1.9938,0.0000,0.0000,,1.9938,0.0000,190,5,29,24,0,0,0,0,operator/internal/status/lokistack.go
1.9788,0.0000,0.0000,,1.9788,0.0000,48,1,4,7,0,0,0,0,operator/internal/manifests/internal/config/build.go
1.9675,0.0781,0.0781,,2.1342,0.1667,178,6,34,41,0,1,0,0,pkg/engine/internal/planner/physical/printer.go
1.9627,0.0000,0.0000,,1.9627,0.0000,27,1,3,9,0,0,0,0,pkg/dataobj/internal/util/rangeset/union.go
1.9409,0.0000,0.0000,,1.9409,0.0000,194,4,59,4,0,0,0,0,pkg/dataobj/sections/logs/row_predicate_order.go
1.9387,0.0000,0.0000,,1.9387,0.0000,38,2,10,10,0,0,0,0,pkg/util/list.go
1.9356,0.0000,0.0000,,1.9356,0.0000,30,1,6,4,0,0,0,0,pkg/dataobj/internal/util/rangeset/intersect.go
1.9350,0.0000,0.0000,,1.9350,0.0000,58,2,15,6,0,0,0,0,pkg/util/series_volume.go
1.9350,0.0000,0.0000,,1.9350,0.0000,126,2,15,6,0,0,0,0,pkg/limits/config.go
1.9332,0.0000,0.0000,,1.9332,0.0000,182,2,55,0,0,0,0,0,pkg/engine/internal/executor/arrow_compare.go
1.9274,0.0493,0.0493,,2.0274,0.1000,416,10,80,35,0,1,0,0,pkg/engine/internal/planner/logical/logical_optimize.go
1.9236,0.0000,0.0000,,1.9236,0.0000,109,3,22,9,0,0,0,0,pkg/engine/internal/executor/matchutil/matchutil.go
1.9113,0.0000,0.0000,,1.9113,0.0000,34,1,4,6,0,0,0,0,pkg/pattern/drain/metrics.go
1.9000,0.0000,0.0000,,1.9000,0.0000,46,2,14,6,0,0,0,0,pkg/compression/fileext.go
1.8690,0.0368,0.0368,,1.9405,0.0714,709,28,157,123,0,2,0,0,pkg/logql/syntax/query_scanner.go
1.8628,0.0000,0.0000,,1.8628,0.0000,99,2,13,6,0,0,0,0,operator/internal/handlers/internal/storage/storage.go
1.8467,0.0000,0.0000,,1.8467,0.0000,43,1,5,4,0,0,0,0,pkg/logql/bench/cmd/generate/main.go
1.8340,0.0000,0.0000,,1.8340,0.0000,44,1,23,0,0,0,0,0,operator/internal/handlers/internal/gateway/modes.go
1.8306,0.0000,0.0000,,1.8306,0.0000,55,1,1,16,0,0,0,0,operator/api/loki/v1beta1/v1beta1.go
1.8232,0.0000,0.0000,,1.8232,0.0000,236,8,57,19,0,0,0,0,operator/internal/manifests/gateway_tenants.go
1.8131,0.0000,0.0000,,1.8131,0.0000,64,2,7,11,0,0,0,0,operator/internal/certrotation/build.go
1.8045,0.0998,0.0998,,2.0045,0.2000,269,5,29,21,1,1,0,0,pkg/logql/bench/discover/pkg/probe.go
1.7964,0.0000,0.0000,,1.7964,0.0000,104,4,18,16,0,0,0,0,operator/internal/certrotation/target.go
1.7944,0.3579,0.3579,,2.7944,1.0000,157,2,24,25,0,2,0,0,pkg/framedstdcopy/framedstdcopy.go
1.7727,0.0000,0.0000,,1.7727,0.0000,143,5,34,11,0,0,0,0,pkg/engine/internal/planner/physical/rule_clamp_predicates.go
1.7727,0.0000,0.0000,,1.7727,0.0000,38,2,7,10,0,0,0,0,pkg/util/merger.go
1.7434,0.2229,0.2229,,2.2434,0.5000,101,2,13,15,0,1,0,0,pkg/bloombuild/planner/strategies/util.go
1.7414,0.0000,0.0000,,1.7414,0.0000,25,1,4,4,0,0,0,0,pkg/util/matchers.go
1.7414,0.0000,0.0000,,1.7414,0.0000,24,1,4,4,0,0,0,0,pkg/util/log/slogadapter.go
1.7414,0.0000,0.0000,,1.7414,0.0000,29,1,4,4,0,0,0,0,pkg/loghttp/patterns.go
1.7414,0.0000,0.0000,,1.7414,0.0000,31,1,4,4,0,0,0,0,pkg/engine/internal/proto/physicalpb/unmarshal.go
1.7284,0.0547,0.0547,,1.8284,0.1000,318,10,35,57,0,1,0,0,pkg/querier/queryrange/splitters.go
1.7217,0.0000,0.0000,,1.7217,0.0000,235,7,26,29,0,0,0,0,pkg/bloombuild/planner/versioned_range.go
1.7170,0.2255,0.2255,,2.2170,0.5000,114,2,11,17,0,1,0,0,pkg/engine/internal/executor/stream_injector.go
1.7101,0.0000,0.0000,,1.7101,0.0000,201,7,36,19,0,0,0,0,pkg/engine/internal/executor/aggregator.go
1.6795,0.0000,0.0000,,1.6795,0.0000,146,6,28,17,0,0,0,0,pkg/logql/log/pattern/pattern.go
1.6786,0.0000,0.0000,,1.6786,0.0000,145,3,52,0,0,0,0,0,pkg/engine/internal/types/operators.go
1.6723,0.0000,0.0000,,1.6723,0.0000,136,4,13,17,0,0,0,0,pkg/kafka/testkafka/cluster.go
1.6594,0.0000,0.0000,,1.6594,0.0000,666,12,48,39,0,0,0,0,operator/internal/manifests/gateway.go
1.6419,0.0000,0.0000,,1.6419,0.0000,63,3,15,7,0,0,0,0,pkg/engine/internal/planner/physical/rule_predicate_pushdown.go
1.6398,0.0000,0.0000,,1.6398,0.0000,228,12,54,32,0,0,0,0,pkg/engine/internal/executor/parse_json.go
1.6296,0.0000,0.0000,,1.6296,0.0000,208,10,39,31,0,0,0,0,pkg/logql/log/logfmt/decode.go
1.6294,0.0000,0.0000,,1.6294,0.0000,114,3,11,10,0,0,0,0,operator/internal/manifests/node_placement.go
1.6288,0.2349,0.2349,,2.1288,0.5000,89,2,16,9,0,1,0,0,pkg/storage/stores/series/index/schema_config.go
1.6207,0.3816,0.3816,,2.6207,1.0000,479,8,85,79,0,8,0,0,clients/pkg/logentry/logql/expr.y.go
