gap,coverage,effective_coverage,covered_by,icr,ccr,loc,funcs,branches,mutations,io_calls,logs,spans,metrics,path
4.6188,0.1780,0.1780,,5.6188,1.0000,798,1,300,99,0,1,0,0,model/textparse/openmetricslex.l.go
3.9648,0.1120,0.1120,,4.4648,0.5000,585,2,213,64,0,1,0,0,model/textparse/promlex.l.go
3.1404,0.2415,0.2415,,4.1404,1.0000,2384,8,300,441,0,8,0,0,promql/parser/generated_parser.y.go
2.9685,0.0000,0.0000,,2.9685,0.0000,702,7,128,78,0,0,0,0,promql/quantile.go
2.7501,0.0000,0.0000,,2.7501,0.0000,243,4,56,38,0,0,0,0,util/strutil/quote.go
2.7113,0.0000,0.0000,,2.7113,0.0000,83,1,19,6,0,0,0,0,discovery/puppetdb/resources.go
2.3627,0.0000,0.0000,,2.3627,0.0000,136,2,14,18,0,0,0,0,discovery/hetzner/hcloud.go
2.3383,0.0665,0.0665,,2.5049,0.1667,443,6,73,39,0,1,0,0,promql/info.go
2.1967,0.0000,0.0000,,2.1967,0.0000,49,1,5,9,0,0,0,0,model/labels/sharding_stringlabels.go
2.1435,0.0000,0.0000,,2.1435,0.0000,138,3,15,24,0,0,0,0,discovery/ionos/server.go
2.1258,0.0000,0.0000,,2.1258,0.0000,153,4,25,24,0,0,0,0,tsdb/ooo_head.go
2.1136,0.0000,0.0000,,2.1136,0.0000,1823,6,69,16,0,0,0,0,util/fuzzing/corpus_protobuf.go
2.0827,0.1380,0.1380,,2.4161,0.3333,555,9,96,56,0,3,0,0,storage/remote/otlptranslator/prometheusremotewrite/helper.go
2.0586,0.0000,0.0000,,2.0586,0.0000,111,2,17,7,0,0,0,0,storage/remote/otlptranslator/prometheusremotewrite/number_data_points.go
2.0097,0.3323,0.3323,,3.0097,1.0000,200,2,26,36,0,2,0,0,discovery/scaleway/instance.go
1.9943,0.3340,0.3340,,2.9943,1.0000,126,1,18,12,0,1,0,0,model/histogram/convert.go
1.9849,0.0000,0.0000,,1.9849,0.0000,148,2,11,10,0,0,0,0,util/testwal/records.go
1.9627,0.0000,0.0000,,1.9627,0.0000,47,1,3,9,0,0,0,0,model/labels/sharding_dedupelabels.go
1.9497,0.1099,0.1099,,2.1905,0.2407,2238,54,386,322,0,13,0,0,model/histogram/float_histogram.go
1.9484,0.0000,0.0000,,1.9484,0.0000,221,4,29,13,0,0,0,0,tsdb/testutil.go
1.9390,0.0000,0.0000,,1.9390,0.0000,340,9,41,50,0,0,0,0,discovery/linode/linode.go
1.9385,0.0000,0.0000,,1.9385,0.0000,54,1,10,2,0,0,0,0,storage/remote/otlptranslator/prometheusremotewrite/otlp_to_openmetrics_metadata.go
1.9189,0.1480,0.1480,,2.2523,0.3333,125,3,23,19,0,1,0,0,discovery/outscale/vm.go
1.9095,0.0000,0.0000,,1.9095,0.0000,42,1,3,8,0,0,0,0,model/labels/sharding.go
1.8873,0.2094,0.2094,,2.3873,0.5000,108,2,14,19,0,1,0,0,discovery/digitalocean/digitalocean_db.go
1.8623,0.2117,0.2117,,2.3623,0.5000,148,2,23,10,0,1,0,0,cmd/promtool/sd.go
1.8500,0.0000,0.0000,,1.8500,0.0000,49,1,3,7,0,0,0,0,discovery/moby/network.go
1.8227,0.0000,0.0000,,1.8227,0.0000,97,1,8,2,0,0,0,0,documentation/examples/remote_storage/remote_storage_adapter/graphite/escape.go
1.8139,0.0428,0.0428,,1.8950,0.0811,1209,37,168,186,0,3,0,0,tsdb/chunkenc/histogram.go
1.7962,0.0000,0.0000,,1.7962,0.0000,882,31,153,111,0,0,0,0,tsdb/chunkenc/xor2.go
1.7871,0.1572,0.1572,,2.1205,0.3333,246,6,67,17,0,2,0,0,tsdb/chunkenc/varbit.go
1.7859,0.0000,0.0000,,1.7859,0.0000,152,5,22,20,0,0,0,0,prompb/io/prometheus/write/v2/custom.go
1.7835,0.2960,0.2960,,2.5335,0.7500,345,8,79,71,0,6,0,0,discovery/aws/aws.go
1.7716,0.4349,0.4349,,3.1353,1.3636,941,11,203,173,0,15,0,0,discovery/aws/rds.go
1.7444,0.1823,0.1823,,2.1333,0.3889,738,18,163,70,0,7,0,0,model/textparse/protobufparse.go
1.6870,0.0497,0.0497,,1.7752,0.0882,1033,34,152,130,0,3,0,0,tsdb/chunkenc/float_histogram.go
1.6212,0.0000,0.0000,,1.6212,0.0000,510,17,84,38,0,0,0,0,tsdb/chunkenc/histogram_meta.go
1.6180,0.0000,0.0000,,1.6180,0.0000,55,1,8,1,0,0,0,0,model/labels/float.go
1.6089,0.0000,0.0000,,1.6089,0.0000,129,3,14,7,0,0,0,0,util/jsonutil/marshal.go
1.6048,0.2307,0.2307,,2.0859,0.4811,4153,106,860,422,0,25,13,13,promql/engine.go
1.5668,0.0000,0.0000,,1.5668,0.0000,188,6,20,19,0,0,0,0,util/fmtutil/format.go
1.5085,0.0000,0.0000,,1.5085,0.0000,394,17,60,43,0,0,0,0,tsdb/chunkenc/bstream.go
