score,loc,avg_cc,cc_ratio,cohesion,concerns,imports,path
16.0814,1555,38.08,9.63,0.6320,13,17,modules/caddyhttp/reverseproxy/caddyfile.go
8.8064,1601,18.30,4.63,0.4737,15,24,caddyconfig/httpcaddyfile/httptype.go
6.6480,297,84.00,21.24,0.4714,2,5,caddyconfig/caddyfile/formatter.go
6.2571,783,27.00,6.83,0.5556,10,14,caddyconfig/httpcaddyfile/tlsapp.go
5.6649,1531,10.00,2.53,0.5120,15,43,modules/caddyhttp/reverseproxy/reverseproxy.go
5.2458,1118,14.17,3.58,0.5801,15,18,caddyconfig/httpcaddyfile/builtins.go
5.1530,377,48.00,12.14,0.5206,4,12,caddyconfig/httpcaddyfile/serveroptions.go
5.0939,785,21.57,5.45,0.4954,9,11,modules/caddyhttp/autohttps.go
4.4518,552,24.17,6.11,0.5147,8,26,modules/caddyhttp/replacer.go
3.8493,1320,6.94,1.75,0.6055,15,32,admin.go
3.8302,1011,10.09,2.55,0.5414,15,18,modules/caddytls/connpolicy.go
3.6971,772,13.40,3.39,0.6466,13,16,modules/caddyhttp/app.go
3.6690,1058,9.00,2.28,0.5841,15,19,modules/caddytls/ech.go
3.6643,813,11.27,2.85,0.5792,15,23,cmd/commandfuncs.go
3.3175,1196,6.39,1.62,0.5141,15,24,caddy.go
3.2438,1515,4.08,1.03,0.7009,15,40,modules/caddyhttp/matchers.go
3.1793,571,15.67,3.96,0.6171,10,15,modules/caddyhttp/reverseproxy/healthchecks.go
3.1643,737,10.21,2.58,0.4999,15,18,modules/caddyhttp/fileserver/staticfiles.go
3.0749,886,8.14,2.06,0.5409,15,18,modules/caddytls/tls.go
3.0504,657,10.79,2.73,0.5087,15,18,modules/caddytls/acmeissuer.go
2.9035,519,17.67,4.47,0.6031,5,11,cmd/commands.go
2.8941,775,7.56,1.91,0.5752,15,26,modules/caddyhttp/reverseproxy/httptransport.go
2.8374,1040,4.97,1.26,0.5343,15,31,modules/caddyhttp/server.go
2.7036,394,20.33,5.14,0.6320,4,18,modules/caddyhttp/reverseproxy/fastcgi/caddyfile.go
2.5900,706,8.75,2.21,0.5741,15,8,caddyconfig/caddyfile/parse.go
2.5872,589,4.58,1.16,0.5792,15,49,caddyconfig/httpcaddyfile/directives.go
2.5691,521,5.42,1.37,0.6092,15,47,modules/caddyhttp/encode/encode.go
2.5536,669,6.85,1.73,0.5636,15,25,modules/caddyhttp/fileserver/matcher.go
2.5487,286,27.00,6.83,0.5874,3,16,modules/caddyhttp/reverseproxy/command.go
2.4734,442,8.38,2.12,0.4794,11,40,modules/caddyhttp/reverseproxy/fastcgi/fastcgi.go
2.4401,450,13.43,3.40,0.5806,11,12,caddyconfig/httpcaddyfile/addresses.go
2.3426,408,13.83,3.50,0.5672,8,19,modules/caddyhttp/staticresp.go
2.2883,541,9.08,2.30,0.5854,15,9,modules/caddyhttp/rewrite/rewrite.go
2.2139,504,8.46,2.14,0.5725,15,13,modules/logging/filewriter.go
2.1869,762,4.14,1.05,0.5823,15,25,modules/caddyhttp/celmatcher.go
2.1330,511,3.35,0.85,0.6262,15,40,modules/caddyhttp/templates/tplcontext.go
2.0890,543,6.82,1.72,0.5890,15,14,modules/caddytls/automation.go
2.0860,594,6.11,1.55,0.5278,15,14,modules/caddyhttp/reverseproxy/streaming.go
1.9505,456,4.50,1.14,0.5877,15,27,cmd/main.go
1.8910,619,4.48,1.13,0.6115,15,16,context.go
1.8750,643,3.90,0.99,0.5814,15,18,listeners.go
1.8727,812,3.41,0.86,0.6800,15,16,modules/caddyhttp/reverseproxy/selectionpolicies.go
1.8562,590,5.33,1.35,0.7008,15,11,caddyconfig/httpcaddyfile/options.go
1.8314,718,3.86,0.98,0.5900,15,13,logging.go
1.8275,513,3.96,1.00,0.6298,15,22,caddytest/caddytest.go
1.8189,627,4.18,1.06,0.6600,15,15,modules/caddytls/capools.go
1.8014,762,3.52,0.89,0.6256,15,13,modules/logging/filters.go
1.7148,307,9.50,2.40,0.6049,9,20,modules/caddyhttp/fileserver/browse.go
1.6788,333,3.91,0.99,0.5729,15,23,modules/caddypki/acmeserver/acmeserver.go
1.6515,233,20.33,5.14,0.5006,4,6,caddyconfig/httpcaddyfile/pkiapp.go
1.6437,436,4.33,1.10,0.6220,15,15,modules/caddyhttp/vars.go
1.6270,370,6.92,1.75,0.5950,15,6,modules/caddyhttp/headers/headers.go
1.6224,298,13.20,3.34,0.6320,6,11,modules/caddyhttp/fileserver/caddyfile.go
