score,loc,avg_cc,cc_ratio,cohesion,concerns,imports,path
15.0204,4036,11.86,3.30,0.6280,15,76,applications.py
10.7397,4374,7.64,2.12,0.5945,15,52,routing.py
9.3563,2323,13.31,3.70,0.7080,10,17,param_functions.py
3.0464,963,6.77,1.88,0.5345,15,32,dependencies/utils.py
2.6960,582,11.22,3.12,0.5345,10,23,openapi/utils.py
2.1454,605,6.75,1.88,0.6942,15,16,security/oauth2.py
1.5715,324,10.75,2.99,0.5531,5,21,encoders.py
1.4508,718,2.40,0.67,0.6655,15,12,params.py
1.4365,419,2.48,0.69,0.6097,15,26,_compat/v2.py
1.3760,342,10.25,2.85,0.6217,5,5,openapi/docs.py
1.3570,335,3.21,0.89,0.7377,15,21,security/http.py
1.1416,175,3.60,1.00,0.7335,15,13,_compat/shared.py
1.1118,175,4.17,1.16,0.6706,14,11,dependencies/models.py
1.0764,203,2.45,0.68,0.6634,15,9,exceptions.py
1.0604,338,1.20,0.33,0.6706,15,10,openapi/models.py
0.9402,254,2.50,0.69,0.7449,11,13,security/api_key.py
0.8196,144,1.38,0.38,0.5892,10,14,datastructures.py
0.7093,115,2.43,0.67,0.5345,8,10,utils.py
0.7093,184,5.33,1.48,0.6379,6,4,sse.py
0.5087,69,3.00,0.83,0.7952,5,13,responses.py
0.4356,82,3.67,1.02,0.7149,4,7,security/open_id_connect_url.py
0.3833,46,1.67,0.46,0.6291,4,6,background.py
0.1847,37,3.00,0.83,1.0000,1,9,concurrency.py
0.1527,28,1.33,0.37,1.0000,1,8,exception_handlers.py
