score,loc,avg_cc,cc_ratio,cohesion,concerns,imports,path
6.5266,1670,2.40,2.40,0.4004,3,89,core/spring-boot/src/main/java/org/springframework/boot/SpringApplication.java
6.1086,1697,1.35,1.35,1.0000,1,151,module/spring-boot-web-server/src/testFixtures/java/org/springframework/boot/web/server/servlet/AbstractServletWebServerFactoryTests.java
6.1003,1082,5.19,5.19,0.6501,2,12,core/spring-boot/src/main/java/org/springframework/boot/context/properties/source/ConfigurationPropertyName.java
4.5148,646,2.34,2.34,1.0000,1,118,module/spring-boot-webmvc/src/main/java/org/springframework/boot/webmvc/autoconfigure/WebMvcAutoConfiguration.java
3.9386,824,3.11,3.11,1.0000,1,53,core/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/condition/OnBeanCondition.java
3.8458,975,3.23,3.23,0.5268,2,19,core/spring-boot/src/main/java/org/springframework/boot/json/JsonWriter.java
3.6407,1035,2.29,2.29,0.5131,2,42,module/spring-boot-resttestclient/src/main/java/org/springframework/boot/resttestclient/TestRestTemplate.java
3.4417,658,3.65,3.65,0.4456,4,28,module/spring-boot-jdbc/src/main/java/org/springframework/boot/jdbc/DataSourceBuilder.java
3.4124,576,2.03,2.03,0.5205,4,77,module/spring-boot-jetty/src/main/java/org/springframework/boot/jetty/servlet/JettyServletWebServerFactory.java
3.3203,626,2.06,2.06,0.5740,2,73,module/spring-boot-tomcat/src/main/java/org/springframework/boot/tomcat/servlet/TomcatServletWebServerFactory.java
3.1980,627,3.48,3.48,0.5430,2,32,core/spring-boot/src/main/java/org/springframework/boot/context/properties/bind/Binder.java
3.1263,772,3.60,3.60,0.4984,2,5,cli/spring-boot-cli/src/json-shade/java/org/springframework/boot/cli/json/JSONObject.java
3.1263,772,3.60,3.60,0.4984,2,5,configuration-metadata/spring-boot-configuration-processor/src/json-shade/java/org/springframework/boot/configurationprocessor/json/JSONObject.java
3.1263,772,3.60,3.60,0.4984,2,5,configuration-metadata/spring-boot-configuration-metadata/src/json-shade/java/org/springframework/boot/configurationmetadata/json/JSONObject.java
3.0169,406,1.89,1.89,1.0000,1,88,module/spring-boot-webflux/src/main/java/org/springframework/boot/webflux/autoconfigure/WebFluxAutoConfiguration.java
2.9935,349,6.50,6.50,1.0000,1,27,configuration-metadata/spring-boot-configuration-processor/src/main/java/org/springframework/boot/configurationprocessor/MetadataGenerationEnvironment.java
2.9412,403,5.57,5.57,0.5164,2,19,module/spring-boot-opentelemetry/src/main/java/org/springframework/boot/opentelemetry/autoconfigure/OpenTelemetryEnvironmentVariableEnvironmentPostProcessor.java
2.9322,536,4.44,4.44,1.0000,1,20,core/spring-boot/src/main/java/org/springframework/boot/context/config/ConfigDataEnvironmentContributor.java
2.8350,307,5.00,5.00,1.0000,1,50,module/spring-boot-integration/src/main/java/org/springframework/boot/integration/autoconfigure/IntegrationAutoConfiguration.java
2.8158,1359,1.44,1.44,0.5888,2,26,module/spring-boot-kafka/src/main/java/org/springframework/boot/kafka/autoconfigure/KafkaProperties.java
2.7770,285,7.20,7.20,1.0000,1,27,core/spring-boot/src/main/java/org/springframework/boot/context/properties/ConfigurationPropertiesBean.java
2.7682,494,2.52,2.52,0.2989,2,50,core/spring-boot/src/main/java/org/springframework/boot/logging/log4j2/Log4J2LoggingSystem.java
2.7637,567,1.79,1.79,1.0000,1,68,module/spring-boot-jackson/src/main/java/org/springframework/boot/jackson/autoconfigure/JacksonAutoConfiguration.java
2.7189,491,5.13,5.13,0.6007,2,0,cli/spring-boot-cli/src/json-shade/java/org/springframework/boot/cli/json/JSONTokener.java
2.7189,491,5.13,5.13,0.6007,2,0,configuration-metadata/spring-boot-configuration-processor/src/json-shade/java/org/springframework/boot/configurationprocessor/json/JSONTokener.java
2.7189,491,5.13,5.13,0.6007,2,0,configuration-metadata/spring-boot-configuration-metadata/src/json-shade/java/org/springframework/boot/configurationmetadata/json/JSONTokener.java
2.7041,512,2.40,2.40,0.5987,4,47,build-plugin/spring-boot-gradle-plugin/src/main/java/org/springframework/boot/gradle/tasks/bundling/BootZipCopyAction.java
2.6961,526,1.66,1.66,0.5022,3,62,module/spring-boot-webflux/src/main/java/org/springframework/boot/webflux/actuate/endpoint/web/AbstractWebFluxEndpointHandlerMapping.java
2.6947,566,2.70,2.70,0.6271,3,37,module/spring-boot-devtools/src/main/java/org/springframework/boot/devtools/restart/Restarter.java
2.6887,413,3.87,3.87,0.4330,2,34,build-plugin/spring-boot-maven-plugin/src/main/java/org/springframework/boot/maven/BuildImageMojo.java
2.6591,728,1.26,1.26,0.6244,2,62,module/spring-boot-web-server/src/testFixtures/java/org/springframework/boot/web/server/reactive/AbstractReactiveWebServerFactoryTests.java
2.6528,479,1.96,1.96,0.5523,3,58,module/spring-boot-webmvc/src/main/java/org/springframework/boot/webmvc/actuate/endpoint/web/AbstractWebMvcEndpointHandlerMapping.java
2.6437,407,4.71,4.71,1.0000,1,27,loader/spring-boot-loader-tools/src/main/java/org/springframework/boot/loader/tools/MainClassFinder.java
2.6090,298,8.00,8.00,1.0000,1,7,loader/spring-boot-loader/src/main/java/org/springframework/boot/loader/zip/ZipString.java
2.6074,525,1.82,1.82,1.0000,1,64,module/spring-boot-flyway/src/main/java/org/springframework/boot/flyway/autoconfigure/FlywayAutoConfiguration.java
2.6040,707,1.89,1.89,0.6258,8,31,loader/spring-boot-loader/src/main/java/org/springframework/boot/loader/jar/NestedJarFile.java
